date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:30	5176/5176	---M--	200	added ('OK')	text/javascript	etag:%22f41f5db3bee58867432f5219e9b22733%22	http://www.themenate.net/espire/html/dist/assets/js/charts/sparkline.js	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/js/charts/sparkline.js	(from http://www.themenate.net/espire/html/dist/sparkline.html)
11:00:30	6009/6009	---M--	200	added ('OK')	text/css	etag:%226c5b5415ed84e9741e923212d1f2641a%22	http://www.themenate.net/espire/html/dist/assets/vendors/rickshaw/rickshaw.min.css	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/vendors/rickshaw/rickshaw.min.css	(from http://www.themenate.net/espire/html/dist/rickshaw.html)
11:00:33	2367/2367	---M--	200	added ('OK')	text/javascript	etag:%229eb2be9ac62f442c03a36b027239c48f%22	http://www.themenate.net/espire/html/dist/assets/js/charts/rickshaw.js	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/js/charts/rickshaw.js	(from http://www.themenate.net/espire/html/dist/rickshaw.html)
11:00:34	4019/4019	---M--	200	added ('OK')	text/javascript	etag:%22d286249a53c3c99cb0fd4983bb65ebac%22	http://www.themenate.net/espire/html/dist/assets/js/maps/google-map.js	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/js/maps/google-map.js	(from http://www.themenate.net/espire/html/dist/google-map.html)
11:00:36	1963/1963	---M--	200	added ('OK')	text/javascript	etag:%228084f67648980eab17fcdbc0ce1e89fb%22	http://www.themenate.net/espire/html/dist/assets/js/maps/jvector-map.js	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/js/maps/jvector-map.js	(from http://www.themenate.net/espire/html/dist/vector-map.html)
11:00:39	10276/10276	---M--	200	added ('OK')	text/javascript	etag:%22b080780099876197c9f0646c4c520b93%22	http://www.themenate.net/espire/html/dist/assets/vendors/sticky/jquery.sticky.js	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/vendors/sticky/jquery.sticky.js	(from http://www.themenate.net/espire/html/dist/faq.html)
11:00:40	303/303	---M--	200	added ('OK')	text/javascript	etag:%22c9e509df2816f0872486f059467b083a%22	http://www.themenate.net/espire/html/dist/assets/js/extras/faq.js	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/js/extras/faq.js	(from http://www.themenate.net/espire/html/dist/faq.html)
11:00:41	80694/80694	---M--	200	added ('OK')	text/javascript	etag:%2228fa4be75344b0f34ec75ef2dd557174%22	http://www.themenate.net/espire/html/dist/assets/vendors/rickshaw/rickshaw.min.js	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/vendors/rickshaw/rickshaw.min.js	(from http://www.themenate.net/espire/html/dist/rickshaw.html)
11:00:41	4316/4316	---M--	200	added ('OK')	text/css	etag:%22dc147b5551d598427a0b4a92da4a267b%22	http://www.themenate.net/espire/html/dist/assets/vendors/photoswipe/dist/photoswipe.css	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/vendors/photoswipe/dist/photoswipe.css	(from http://www.themenate.net/espire/html/dist/gallery.html)
11:00:42	12089/12089	---M--	200	added ('OK')	text/css	etag:%22d43572c796540c8cfcc77abcf644c527%22	http://www.themenate.net/espire/html/dist/assets/vendors/photoswipe/dist/default-skin/default-skin.css	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/vendors/photoswipe/dist/default-skin/default-skin.css	(from http://www.themenate.net/espire/html/dist/gallery.html)
